Report Number,title,abstract,link,author,outlier
,中文版,"As many recently concluded IIAs, the RCEP agreement includes provisions on investment facilitation. Following ASEAN’s “built-in work program” approach, the agreement provides flexibility for RCEP parties to further implement investment facilitation measures. Such flexibility can arguably be an opportunity to set a collaborative framework for investment facilitation in the region.  ",/sites/default/files/content/docs/publications/No 295 - Schacherer - FINAL - CHINESE version.pdf,,
No. 294: ,Taming the chaos in investment treaty protection,No. 294: ,/sites/default/files/content/docs/fdi perspectives/No 294 - Ortino - FINAL.pdf,",” by Federico Ortino",
,中文版,"Despite extensive arbitral practice interpreting investment treaty protections, serious shortcomings still exist particularly regarding the fair-and-equitable-treatment clause. Recent reforms do not always enhance legal certainty and protect countries’ right to regulate. While there is little appetite for a multilateral reform initiative, this ",/sites/default/files/content/docs/publications/No 294 - Ortino - FINAL - CHINESE version.pdf, argues that that may soon be inevitable.  ,
No. 293: ,From investment promotion and protection to investment regulation,No. 293: ,/sites/default/files/content/docs/fdi perspectives/No 293 - Baltag - FINAL.pdf,",” by Crina Baltag",
,中文版,"While the current framework of international investment law is largely shaped to promote and protect foreign investments, in the past years we have been witnessing a shift to investment regulation. Developing a proper investment regulatory framework should address both substance and procedure while balancing the interests of investors and countries.  ",/sites/default/files/content/docs/fdi perspectives/No 293 - Baltag - FINAL - CHINESE version.pdf,,
No. 292: ,The development dimension of an investment facilitation framework,No. 292: ,/sites/default/files/content/docs/fdi perspectives/No 292 - Hamdani - FINAL.pdf,",” by Khalil Hamdani",
,中文版,The development dimension of the WTO discussions on investment facilitation includes provisions on special and differential treatment and technical assistance for developing countries. Also important are corporate responsibility and home country support of host country measures. The discussions should ensure that these development provisions are more than hortatory language.  ,/sites/default/files/content/docs/fdi perspectives/No 292 - Hamdani - FINAL - CHINESE version.pdf,,
No. 291: ,Investment facilitation and the GATS: Do overlaps matter?,No. 291: ,"/sites/default/files/content/docs/fdi perspectives/No 291 - Adlung, Sauvé and Stephenson - FINAL.pdf",",” by Rudolf Adlung, Pierre Sauvé and Sherry Stephenson",
,中文版,"WTO talks on investment facilitation, launched at the 11th Ministerial Conference in 2017, have garnered significant traction, with negotiations currently involving over 100 Members. Looking ahead, a key challenge will be securing an open plurilateral agreement that bridges definitional and conceptual gaps between proposed investment facilitation and existing GATS disciplines.  ","/sites/default/files/content/docs/fdi perspectives/No 291 - Adlung, Sauvé and Stephenson - FINAL - CHINESE version.pdf",,
No. 290: ,The blind side of international investment law and policy: The need for investor-state conflict-management mechanisms fostering investment retention and expansion,No. 290: ,/sites/default/files/content/docs/publications/No 290 - Echandi - FINAL.pdf,",” by Roberto Echandi",
,中文版,"Most countries strive to attract FDI, yet around one fourth of all FDI projects established in developing countries are discontinued due to unresolved investor-state conflicts that never reach the limelight of investor-state litigation. This ",/sites/default/files/content/docs/fdi perspectives/No 290 - Echandi - FINAL - CHINESE version.pdf, introduces investor-state conflict-management mechanisms (CMMs) to facilitate investment permanence and expansion in host countries.  ,
No. 289: ,Outward FDI under China’s Belt and Road Initiative: Between regulation and adaption,No. 289: ,/sites/default/files/content/No 289 - Carrai - FINAL.pdf,",” by Maria Adele Carrai",
,中文版,"Chinese regulations and guidelines on the BRI’s outward FDI increasingly align with international standards and best practices. However, this ",/sites/default/files/content/docs/fdi perspectives/No 289 - Carrai - FINAL - CHINESE version.pdf, highlights that the voluntary nature of most of the guidelines and the Chinese central government’s lack of control over its economic actors abroad makes China’s approach adaptive to host countries.  ,
No. 288: ,COVID-19 and FDI: How should governments respond?,No. 288: ,/sites/default/files/content/docs/publications/No 288 - Nimac - FINAL.pdf,",” by Ivan Anton Nimac",
,中文版,"FDI has a major role to play in the post-COVID-19 recovery. In the crisis phase, investment promotion agencies should focus on investor retention. In the recovery phase, governments should reset FDI policy by: reviewing strategies, identifying priority segments, implementing reforms to strengthen value propositions and promoting the resilient segments.  ",/sites/default/files/content/docs/publications/No 288 - Nimac - FINAL - CHINESE version.pdf,,
No. 287: ,Explaining the rise of third-party funding in investment arbitration,No. 287: ,/sites/default/files/content/docs/publications/No 287 - Dafe and Williams - FINAL.pdf,",” by Florence Dafe and Zoe Williams",
,中文版,This ,/sites/default/files/content/docs/publications/No 287 - Dafe and Williams - FINAL - CHINESE version.pdf," examines explanations for the emergence of TPF in ISDS, including key domestic legal changes, efforts to ensure greater “access to justice”, and developments in the global financial system. The authors argue that understanding the emergence of TPF helps us better anticipate its effect on the investment regime.  ",
No. 286: ,Insulating a WTO Investment Facilitation Framework from ISDS,No. 286: ,"/sites/default/files/content/docs/publications/No 286 - Bermann, Calamita, Chi, and Sauvant - FINAL.pdf",",” by George A. Bermann, N. Jansen Calamita, Manjiao Chi, and Karl P. Sauvant",
,中文版,"The authors identify several ways in which an investment facilitation framework for development can be insulated from investor-state dispute settlement provisions in international investment agreements, and suggest specific formulations in this respect.  ","/sites/default/files/content/docs/publications/No 286 - Bermann, Calamita, Chi, and Sauvant - FINAL - CHINESE version.pdf",,
No. 285: ,Corporate inversions and FDI in the United States,No. 285: ,/sites/default/files/content/docs/publications/No 285 - Atkinson and Hanson - FINAL.pdf,",” by Sarah Atkinson and Jessica Hanson",
,中文版,Corporate inversions had a significant impact on US FDI over the past four decades. Analysts speculated that the 2017 Tax Cuts and Jobs Act would incentivize inverted companies to redomicile and become US-owned again. This ,/sites/default/files/content/docs/publications/No 285 - Atkinson and Hanson - FINAL - CHINESE version.pdf, investigates if significant redomiciling occurred in 2018 using preliminary BEA statistics on US FDI.  ,
No. 284: ,FDI screening regulation and the recent EU guidance: What options do member states have?,No. 284: ,/sites/default/files/content/docs/publications/No 284 - Velten - FINAL.pdf,",” by Jens Velten",
,中文版,"The EU seeks to establish a harmonized FDI screening landscape, but leaves the ultimate decision to member states. Besides screening mechanisms on the grounds of “security or public security” pursuant to the FDI screening regulation, member states have other options, namely a narrower Fundamental Freedom Option.  ",/sites/default/files/content/docs/publications/No 284 - Velten - FINAL - CHINESE version.pdf,,
No. 283: ,"India’s blueprint for tackling opportunistic acquisitions during COVID-19, with Chinese firms in mind",No. 283: ,/sites/default/files/content/docs/publications/No 283 - Doshi and Udgata - FINAL.pdf,",” by Hetal Doshi and Sankalp Udgata",
,中文版,COVID-19 has compelled countries across the globe to implement major amendments in their FDI policies to curb opportunistic takeovers and acquisitions of their companies. This ,/sites/default/files/content/docs/publications/No 283 - Doshi and Udgata - FINAL - CHINESE version.docx.pdf, critically analyses the Indian government’s FDI policy amendments and proposes certain changes in the policy to make it more aligned with its objective.  ,
